method,acs_anatomic_only,acs_full_database,delta,rank_anatomic_only,rank_full_database,rank_change
music,1.0,1.0,0.0,1.0,1.0,0.0
nnls,0.9846153846153847,0.9846153846153847,0.0,3.5,3.5,0.0
elastic_net,0.9846153846153847,0.9846153846153847,0.0,3.5,3.5,0.0
epic,0.9846153846153847,0.9846153846153847,0.0,3.5,3.5,0.0
svr,0.9846153846153847,0.9846153846153847,0.0,3.5,3.5,0.0
cibersortx,0.9692307692307692,0.9692307692307692,0.0,6.0,6.5,0.5
scdc,0.9538461538461539,0.9538461538461539,0.0,7.5,8.5,1.0
scdc_ensemble,0.9538461538461539,0.9538461538461539,0.0,7.5,8.5,1.0
bisque,0.9230769230769231,0.9692307692307692,0.0461538461538461,9.0,6.5,-2.5
bayesprism,0.8769230769230769,0.8769230769230769,0.0,10.0,10.0,0.0
bayesian_hierarchical,0.7692307692307693,0.7846153846153846,0.01538461538461533,11.5,11.0,-0.5
bayesian,0.7692307692307693,0.7692307692307693,0.0,11.5,12.0,0.5
dwls,0.7384615384615385,0.7384615384615385,0.0,13.0,13.0,0.0
quantiseq,0.6,0.6,0.0,14.0,14.0,0.0
control_random,0.4,0.3384615384615385,-0.06153846153846154,15.0,15.0,0.0
control_shuffled_signature,0.13846153846153847,0.13846153846153847,0.0,16.0,16.0,0.0
