sample_id,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
mix00000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mix00001,0.0,0.7101200439982047,0.1867941885371748,0.09372204493617034,0.003861341321443617,0.005502381207006455,0.0,0.0
mix00002,0.44601520722265503,0.0,0.0033129320613581753,0.025200073959208966,0.09055443953292044,0.014839160530165922,0.0924510338813536,0.32762715281233784
mix00003,0.0,0.4767551878464147,0.4706559597423975,0.052588852411187735,0.0,0.0,0.0,0.0
mix00004,0.39464239459666717,0.28153227408881865,0.0,0.0,0.0,0.1953810059890181,0.02583992468223976,0.10260440064325634
mix00005,0.4568533892421917,0.4233407224016623,0.0,0.0,0.0,0.020886545109587564,0.010648923033811809,0.08827042021274653
mix00006,0.5616124859748848,0.29797473443636213,0.0,0.0,0.0,0.021079384414683194,0.014844747111669832,0.10448864806239998
mix00007,0.12646008932187489,0.03940435328575449,0.0,0.0,0.0,0.03256671668391519,0.7778997602925029,0.023669080415952386
mix00008,0.4734449637741139,0.1268331584042246,0.0,0.0,0.0,0.03569643778903781,0.36276737980596324,0.0012580602266605084
mix00009,0.14821550612938184,0.11849971635541952,0.0,0.001007321267915581,0.0,0.0159846262395003,0.45329867701532156,0.2629941529924612
mix00010,0.0,0.05008545804236966,0.713084462630375,0.23683007932725525,0.0,0.0,0.0,0.0
mix00011,0.6306733104395563,0.3089398006578565,0.0,0.0,0.0,0.018068222896626098,0.0423186660059611,0.0
mix00012,0.3362373952116708,0.41463236443449025,0.0,0.08539202750129408,0.0,0.0823755613717854,0.08136265148075962,0.0
mix00013,0.044196183784989226,0.9297990090160896,0.0,0.0,0.0,0.001473566271763692,0.0,0.024531240927157485
mix00014,0.0,0.9244687906783086,0.0,0.07553120932169136,0.0,0.0,0.0,0.0
mix00015,0.0,0.07091662935444724,0.13286972270985836,0.1259703757198273,0.4322266909290369,0.0,0.23801658128683023,0.0
mix00016,0.5485185939732399,0.209928377626537,0.017630442199519765,0.0,0.0,0.0522123407681277,0.16647303835392407,0.005237207078651521
mix00017,0.0,0.5318312533784745,0.4576518026943804,0.0,0.0,0.0,0.010516943927145092,0.0
mix00018,0.2485351959612103,0.0,0.571954009441025,0.13653452485950537,0.0,0.0,0.0,0.042976269738259146
mix00019,0.22881233848305318,0.2743800002499481,0.0,0.0,0.0,0.03410200645816271,0.2976542655056097,0.16505138930322655
mix00020,0.0,0.21857725670689052,0.19590240421838906,0.19486036233171858,0.3906599767430019,0.0,0.0,0.0
mix00021,0.0,0.31107263220998155,0.33893358477160257,0.3460021179618066,0.0024841798267963657,0.0015074852298129046,0.0,0.0
mix00022,0.5199865365817512,0.22410111929320026,0.0,0.0,0.0,0.010192746958986903,0.19231055030277752,0.053409046863284224
mix00023,0.0,0.0,0.2593274333807305,0.17301635157929882,0.0,0.13396991297366176,0.4336863020663089,0.0
mix00024,0.6533159292801746,0.2563670968546507,0.0,0.0,0.0,0.07262733074698868,0.009623934999477073,0.008065708118708943
mix00025,0.0012004778222982392,0.20728349480399402,0.15233797507814037,0.220117985098933,0.08879590197470782,0.013738520450590184,0.3165256447713364,0.0
mix00026,0.18714113343362096,0.40111092477607363,0.0,0.0,0.020172382614682745,0.011695561639694764,0.37987999753592777,0.0
mix00027,0.4410001833545873,0.49361223420180406,0.0,0.0,0.0,0.005331705666545323,0.0,0.06005587677706323
