sample_id,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
mix00000,0.014864478534518824,0.9851355214654812,0.0,0.0,0.0,0.0,0.0,0.0
mix00001,0.0,0.667911135529111,0.24221526506235516,0.07619159029524245,0.010144263929006574,0.003537745184284917,0.0,0.0
mix00002,0.5473031680072769,0.0,0.0,0.0,0.06405581570857677,0.0,0.12040234976044527,0.26823866652370093
mix00003,0.0,0.46212946278220896,0.46899879193603244,0.03424007137824056,0.008352315476658963,0.016509215974907048,0.0,0.00977014245195186
mix00004,0.3894021648862174,0.31135180434103094,0.0,0.0,0.0,0.1758200450977714,0.03618929856312212,0.0872366871118582
mix00005,0.4447713716619177,0.5218438482213219,0.0,0.009052978579086119,0.0,0.007438381310517404,0.0,0.016893420227156918
mix00006,0.6132123515171061,0.33697572150717586,0.0,0.008958234370138044,0.0,0.012271113135231866,0.0,0.028582579470348243
mix00007,0.0859113853635837,0.05360936717011864,0.00013162354145432317,0.0,0.0,0.03690323031244206,0.8234443936124014,0.0
mix00008,0.38355617136131454,0.11761242017582815,0.0,0.01186854842527122,0.010951465572586487,0.05369826441616509,0.3974402691692109,0.024872860879623628
mix00009,0.36632807949359947,0.0931112657963395,0.0,0.02151583716949763,0.0,0.022023647266815348,0.40790486136476756,0.08911630890898053
mix00010,0.0,0.08207938535769557,0.70435404322143,0.20410363218683886,0.0,0.009462939234035458,0.0,0.0
mix00011,0.6511301171946356,0.30988342955841397,0.0,0.0,0.0,0.0022102760892135434,0.03677617715773681,0.0
mix00012,0.1733438378835117,0.5242371838764459,0.015759042929792338,0.08442404282548659,0.0,0.08686951706449461,0.11027450142015982,0.005091874000108965
mix00013,0.10081090116644831,0.8943258650603961,0.0,0.0,0.0,0.0,0.0,0.004863233773155658
mix00014,0.0,0.915590160747701,0.0,0.08440983925229902,0.0,0.0,0.0,0.0
mix00015,0.052366155960214544,0.06172605251267739,0.1437884830886249,0.10962195997253703,0.3617955877607761,0.021660472699465246,0.24904128800570483,0.0
mix00016,0.5193045669379021,0.23683067176370537,0.0070693565301369445,0.0,0.0,0.05068092227143852,0.1861144824968173,0.0
mix00017,0.010892665506854653,0.8490442187357213,0.08719692479606712,0.0,0.0,0.0,0.05286619096135693,0.0
mix00018,0.0,0.0,0.9695015223704684,0.019363787732886155,0.008422717057469532,0.0,0.0,0.0027119728391759054
mix00019,0.18566283325641567,0.2697324814646632,0.0,0.0,0.0,0.025229711112810103,0.3682105946322189,0.1511643795338922
mix00020,0.0,0.22925960721284286,0.2503796268341122,0.17971901599229267,0.3406417499607523,0.0,0.0,0.0
