sample_id,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
mix00000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mix00001,0.0,0.6578327352292307,0.23375165570149584,0.10841560906927347,0.0,0.0,0.0,0.0
mix00002,0.5830496957534683,0.0,0.0,0.0,0.2156462333291768,0.0,0.2013040709173548,0.0
mix00003,0.0,0.6817889669687215,0.31821103303127846,0.0,0.0,0.0,0.0,0.0
mix00004,0.204100971259859,0.270570351857419,0.0,0.0,0.0,0.255451321401672,0.0683266454279089,0.20155071005314099
mix00005,0.18488626547068504,0.815113734529315,0.0,0.0,0.0,0.0,0.0,0.0
mix00006,0.56411428776518,0.43588571223482,0.0,0.0,0.0,0.0,0.0,0.0
mix00007,0.0,0.035106566676041784,0.0,0.0,0.0,0.03975273006393458,0.9251407032600236,0.0
mix00008,0.1935142356019169,0.12907009050141993,0.0,0.0,0.0,0.06138843648870528,0.6160272374079577,0.0
mix00009,0.0651291533679919,0.11957349395482297,0.0,0.0,0.0,0.027359347884415294,0.7879380047927699,0.0
mix00010,0.0,0.0872801732677327,0.7358694703771952,0.176850356355072,0.0,0.0,0.0,0.0
mix00011,0.4491489426041142,0.4873213247475542,0.0,0.0,0.0,0.0,0.06352973264833163,0.0
mix00012,0.07425269580150087,0.5759439162225732,2.4150039285144288e-05,0.021909346154068917,0.0,0.15851064862380865,0.1693592431587633,0.0
mix00013,0.00046168393069970004,0.9995383160693002,0.0,0.0,0.0,0.0,0.0,0.0
mix00014,0.0,0.899791703412331,0.0,0.10020829658766901,0.0,0.0,0.0,0.0
mix00015,0.0,0.03688620980634165,0.15005027279850022,0.22570111407330867,0.13618821572404846,0.0,0.451174187597801,0.0
mix00016,0.404875572380592,0.2585292404128541,0.0,0.0,0.0,0.07873805129356,0.257857135912994,0.0
mix00017,0.0,0.9146677473390395,0.0,0.0,0.0,0.0,0.08533225266096035,0.0
mix00018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mix00019,0.06609163695420657,0.16501720249279694,0.0,0.0,0.0,0.03022110044729769,0.30535434415624796,0.43331571594945084
mix00020,0.0,0.14978275155216594,0.10133119103088684,0.256541741150005,0.49234431626694225,0.0,0.0,0.0
mix00021,0.0,0.1562391154382656,0.29964627074635913,0.5440115196058036,0.00010309420957156271,0.0,0.0,0.0
mix00022,0.35786492028440536,0.3022993505402513,0.0,0.0,0.0,0.0,0.3398357291753434,0.0
mix00023,0.0,0.0,0.2428896910001392,0.12147851060265262,0.0,0.18908375345633105,0.4465480449408771,0.0
mix00024,0.3961276989103089,0.369179280974085,0.0,0.0,0.0,0.15466920385857397,0.08002381625703228,0.0
mix00025,0.0,0.18709997620301458,0.13194617334216782,0.2641177157130973,0.06595558639884638,0.0,0.3508805483428738,0.0
mix00026,0.0,0.5164341697768695,0.012580985071957285,0.0,0.053135163089593665,0.0,0.4178496820615796,0.0
mix00027,0.21462770950125803,0.785372290498742,0.0,0.0,0.0,0.0,0.0,0.0
mix00028,0.334997158249304,0.530470291661267,0.0,0.0,0.0,0.0,0.134532550089429,0.0
mix00029,0.32829079611811135,0.0,0.060455689447100704,0.0,0.0,0.0,0.6112535144347879,0.0
mix00030,0.24206481075201197,0.24403364490734095,0.0,0.0,0.0,0.0,0.5139015443406469,0.0
